rock_type,aquifer_type,land_cover_class,impervious_surface_pct,rainfall_15yr_annual_avg_mm,rainfall_monsoon_avg_mm,et0_annual_avg_mm,effective_recharge_mm,heavy_rain_days_per_yr,moderate_rain_days_per_yr,rainfall_intensity_ratio,drought_years_in_15,elevation_m,slope_degrees,twi,distance_to_waterbody_m,gwl_pre_monsoon_mbgl,gwl_post_monsoon_mbgl,gwl_seasonal_fluctuation_m,extraction_stage_pct,weathered_zone_thickness_m,depth_to_bedrock_m,lineament_density_per_km2,clay_pct,sand_pct,soil_ph,avg_borewell_depth_ft,planned_depth_ft,planned_month,borewell_success
Granite-Gneiss,Fractured,Built Area,82.48262030492603,975.8080847705899,700.5750970095272,1576.9591375355901,57.64428780052981,4,22,0.7428637551533934,1,438.8108136128098,2.465003779200967,9.780717149043394,797.5664992004812,26.88671369831326,18.376411490285783,8.510302208027479,165.81914335453735,11.294128790988,22.859929884264133,1.0275299142025167,19.78118168173566,35.79133942907687,7.628532094696292,888.9013732656888,852.9085985945882,1,0
Granite-Gneiss,Fractured,Bare Ground,13.884663488016217,914.9196718527071,500.8152264799597,1203.6113115774592,133.6547362211221,3,24,0.6670579625943582,3,454.19131618830784,0.46921623060952644,11.856847168792594,107.92324548399945,27.872748106028535,19.28863395581071,8.584114150217825,159.66423768996788,6.944519798765317,12.482847056399681,2.248730042968968,25.85595218615669,38.52182044759851,6.819353021641277,740.4397294268252,711.9123886543141,7,1
Granite-Gneiss,Fractured,Crops,14.427164728697646,882.5762754473702,799.7546212195477,1403.3070764472807,59.07133179056482,9,31,0.6757533999402738,1,480.7688632108864,2.0394737837595525,11.675879066614723,2335.3317223515073,24.44284659621247,17.33511071445749,7.10773588175498,174.7420845553393,10.986720297314376,18.193716211786562,1.7201677224327052,28.655096134604207,40.81791470186346,6.957193695998871,727.5193451789714,758.9536307651593,8,1
Granite-Gneiss,Fractured,Built Area,80.57769534982384,811.5052009661224,526.9157150313308,1424.788068242476,79.90196891852862,7,32,0.7685574518887817,3,443.13866142600494,2.930983313674343,8.224938336606147,1940.867019981211,29.045637658614154,21.03856583332776,8.007071825286395,166.47677382954555,11.706733623158057,13.706733623158057,1.387647942834865,29.012442599496108,42.535100697854745,6.65418038240053,759.4532219661842,792.9980341488272,9,0
Granite-Gneiss,Fractured,Crops,20.513069820753017,997.5696540724772,595.6470516360187,1435.3117893883666,99.36103191540579,6,23,0.7812787260077052,3,487.2929263602955,3.931298181227029,13.535317545057508,1581.847969760726,22.665982403869446,18.484670917473796,4.18131148639565,161.3610953800008,12.409551387898668,21.877356038253204,1.990113413412158,16.03000694417932,41.77585285136076,7.619460363847393,839.758423725132,857.894785512316,2,0
Granite-Gneiss,Fractured,Built Area,82.42555582040606,861.4000003299851,761.3892646511623,1578.1241039638992,43.86113061215401,6,22,0.7488048318671773,1,448.8407933941676,2.50030174062554,8.239135719204018,2261.8672401380927,28.68044781722446,16.14667700123076,12.533770815993702,153.47536575733199,13.363560183745067,16.73111217073881,2.144067732297821,19.975325215714005,43.19849029680643,7.555077300300142,816.5571216843201,836.0095214547592,10,0
Granite-Gneiss,Fractured,Trees,8.589919968760128,782.6737156485244,628.1765685599717,1352.4112550711595,103.49264255910995,5,34,0.6214080963537878,2,425.20273005029037,1.1773574699901737,13.222312753627344,2511.883746956689,24.60425045689913,18.046444365340875,6.5578060915582554,191.1529588342006,10.528018016528705,12.528018016528705,2.3034701379568525,20.703714601758037,50.96862191978235,6.92907432363744,798.9424398902041,804.2911140026172,3,0
Granite-Gneiss,Fractured,Built Area,70.73782653955813,942.9703520373137,553.09235079411,1526.4103672352962,62.06414847787651,9,32,0.6358928412359479,3,546.7703768243354,7.631848331539969,11.259268851733564,2369.0211165801716,31.30848838886937,18.456386613678013,12.852101775191358,167.72415647039634,8.11847573369917,10.56086276061512,1.8007677019646076,18.620840649076108,48.96446798271467,7.633141944185775,854.0406125286428,844.1152833876451,2,0
Granite-Gneiss,Fractured,Trees,24.511049968749102,716.5161325193089,782.0713636630826,1578.3683319269405,43.55183701428926,8,34,0.7100611915084274,1,501.36525092237935,7.6222482909302975,12.766538544962696,2810.520159882635,30.60399211131852,18.384473274962204,12.219518836356315,181.1115733464871,10.817663328855371,12.817663328855371,2.0484646927049086,22.640876473921303,48.0519545753081,7.432004522745706,845.0818634137972,864.3504602525044,5,0
Granite-Gneiss,Fractured,Built Area,79.8892317637789,992.0854941766238,528.2407554805993,1575.7326094366172,84.80886326055598,6,30,0.7550876613370117,1,411.8052056423601,5.098903001865536,7.5334595603497,1096.9152927279738,22.129088469488497,18.078691869605873,4.050396599882625,177.573655730751,15.137479878529248,17.13747987852925,0.5621510267473708,18.529985792892397,38.01603492750029,7.647672805698902,803.0126237140247,798.3799594459346,2,0
Granite-Gneiss,Fractured,Built Area,82.49022467755704,722.5598888883143,625.5635155974741,1456.2135707090797,103.75830598463513,4,34,0.7364449007429238,3,455.45248025873343,6.602350178139908,10.47857624455419,957.9430313156903,28.500296981992513,20.005684682268758,8.494612299723755,159.46332022335812,8.000753664125696,15.646487325941694,1.2868602636947513,26.712467108702963,51.570852684408635,7.563108666552706,890.0305788919824,863.4964743148488,6,0
Granite-Gneiss,Fractured,Trees,8.559467997637292,974.9898103227205,630.3294847381195,1357.3025055750702,116.74847952721547,8,27,0.767679401088176,2,580.5488349065455,3.1359820060947357,7.739822184252866,2085.910707633218,26.540377775031573,18.24344522330895,8.296932551722623,184.83598564560128,13.953985534174691,18.250459952402576,1.8832485684340297,32.39686332159842,36.31286992279505,6.9916247200165325,763.1085436075969,787.7643140453674,7,0
Granite-Gneiss,Fractured,Built Area,83.26942452288736,896.3311552096857,672.7983716400076,1477.485163254067,58.13147280846435,7,36,0.7959974529270069,2,575.2305864384174,3.3991757397316427,6.0231779603314415,2302.5442837953715,24.042503248757384,18.49507796830163,5.547425280455755,197.60645705890852,7.5914272136500704,19.20417812356595,1.8958356157763911,22.286722408753928,35.367375304217155,7.716695153278575,838.6903395186503,840.442006799033,2,0
Granite-Gneiss,Fractured,Built Area,76.85738346992093,872.5656817449056,606.370176816894,1298.9908455410546,75.3305798183485,4,32,0.7544746144302784,3,469.9066733986912,2.6684019962152608,7.120980643596569,1360.9987990522711,25.720091651365415,18.348860389082763,7.371231262282652,160.4569570145958,13.495862611146848,16.14995096231114,1.4290415074364693,19.47424410393716,42.32771981149613,6.99247562025211,840.7636948796152,795.1306604336334,6,0
